geneId,geneName,locus,strand,chromosome
gene-HYAL2,HYAL2,NC_059177.1,+,21,
gene-HYAL3,HYAL3,NC_059177.1,+,21,
gene-HYAL4,HYAL4,NC_059164.1,+,8,
gene-HYDIN,HYDIN,NC_059174.1,+,18,
gene-HYI,HYI,NC_059162.1,+,6,
gene-HYKK,HYKK,NC_059176.1,-,20,
gene-HYLS1,HYLS1,NC_059161.1,+,5,
gene-HYOU1,HYOU1,NC_059172.1,+,16,
gene-HYPK,HYPK,NC_059176.1,-,20,
gene-IAH1,IAH1,NC_059168.1,-,12,
gene-IARS1,IARS1,NC_059159.1,-,3,
gene-IARS2,IARS2,NC_059161.1,-,5,
gene-IBA57,IBA57,NC_059165.1,+,9,
gene-IBTK,IBTK,NC_059166.1,+,10,
gene-ICA1,ICA1,NC_059164.1,-,8,
gene-ICA1L,ICA1L,NC_059158.1,-,2,
gene-ICAM1,ICAM1,NC_059165.1,-,9,
gene-ICAM3,ICAM3,NC_059165.1,+,9,
gene-ICAM4,ICAM4,NC_059165.1,-,9,
gene-ICAM5,ICAM5,NC_059165.1,-,9,
gene-ICE1,ICE1,NC_059175.1,-,19,
gene-ICE2,ICE2,NC_059167.1,-,11,
gene-ICMT,ICMT,NC_059161.1,-,5,
gene-ICOS,ICOS,NC_059158.1,+,2,
gene-ICOSLG,ICOSLG,NC_059157.1,-,1,
gene-ID1,ID1,NC_059170.1,-,14,
gene-ID2,ID2,NC_059168.1,-,12,
gene-ID3,ID3,NC_059158.1,+,2,
gene-ID4,ID4,NC_059158.1,+,2,
gene-IDE,IDE,NC_059179.1,-,23,
gene-IDH1,IDH1,NC_059158.1,-,2,
gene-IDH2,IDH2,NC_059176.1,+,20,
gene-IDH3A,IDH3A,NC_059176.1,-,20,
gene-IDH3B,IDH3B,NC_059170.1,-,14,
gene-IDH3G,IDH3G,NC_059181.1,+,X,
gene-IDI1,IDI1,NC_059170.1,-,14,
gene-IDNK,IDNK,NC_059159.1,+,3,
gene-IDO1,IDO1,NC_059157.1,-,1,
gene-IDO2,IDO2,NC_059157.1,-,1,
gene-IDS,IDS,NC_059181.1,-,X,
gene-IDUA,IDUA,NC_059163.1,+,7,
gene-IER2,IER2,NC_059165.1,+,9,
gene-IER3,IER3,NC_059158.1,-,2,
gene-IER3IP1,IER3IP1,NC_059178.1,+,22,
gene-IER5,IER5,NC_059161.1,-,5,
gene-IER5L,IER5L,NC_059168.1,-,12,
gene-IFFO1,IFFO1,NC_059160.1,-,4,
gene-IFFO2,IFFO2,NC_059158.1,+,2,
gene-IFI30,IFI30,NC_059165.1,+,9,
gene-IFI35,IFI35,NC_059159.1,-,3,
gene-IFI44,IFI44,NC_059162.1,-,6,
gene-IFI44L,IFI44L,NC_059162.1,-,6,
gene-IFI6,IFI6,NC_059158.1,+,2,
gene-IFIH1,IFIH1,NC_059158.1,+,2,
gene-IFIT2,IFIT2,NC_059179.1,+,23,
gene-IFIT3,IFIT3,NC_059179.1,+,23,
gene-IFIT5,IFIT5,NC_059179.1,+,23,
gene-IFITM10,IFITM10,NC_059161.1,+,5,
gene-IFITM5,IFITM5,NC_059161.1,+,5,
gene-IFNAR1,IFNAR1,NC_059157.1,-,1,
gene-IFNAR2,IFNAR2,NC_059157.1,-,1,
gene-IFNE,IFNE,NC_059159.1,+,3,
gene-IFNG,IFNG,NC_059160.1,-,4,
gene-IFNGR1,IFNGR1,NC_059166.1,+,10,
gene-IFNGR2,IFNGR2,NC_059157.1,-,1,
gene-IFNK,IFNK,NC_059159.1,-,3,
gene-IFNL3,IFNL3,NC_059174.1,+,18,
gene-IFNLR1,IFNLR1,NC_059158.1,+,2,
gene-IFRD1,IFRD1,NC_059164.1,-,8,
gene-IFRD2,IFRD2,NC_059177.1,+,21,
gene-IFT122,IFT122,NC_059177.1,-,21,
gene-IFT140,IFT140,NC_059180.1,+,24,
gene-IFT172,IFT172,NC_059168.1,+,12,
gene-IFT20,IFT20,NC_059159.1,+,3,
gene-IFT22,IFT22,NC_059180.1,-,24,
gene-IFT27,IFT27,NC_059160.1,+,4,
gene-IFT43,IFT43,NC_059167.1,-,11,
gene-IFT46,IFT46,NC_059172.1,+,16,
gene-IFT52,IFT52,NC_059170.1,-,14,
gene-IFT57,IFT57,NC_059157.1,-,1,
gene-IFT74,IFT74,NC_059159.1,-,3,
gene-IFT80,IFT80,NC_059157.1,+,1,
gene-IFT81,IFT81,NC_059173.1,-,17,
gene-IFT88,IFT88,NC_059169.1,+,13,
gene-IFTAP,IFTAP,NC_059172.1,-,16,
gene-IGBP1,IGBP1,NC_059181.1,+,X,
gene-IGDCC3,IGDCC3,NC_059167.1,+,11,
gene-IGDCC4,IGDCC4,NC_059167.1,+,11,
gene-IGF1,IGF1,NC_059160.1,+,4,
gene-IGF1R,IGF1R,NC_059176.1,-,20,
gene-IGF2,IGF2,NC_059161.1,+,5,
gene-IGF2BP1,IGF2BP1,NC_059159.1,+,3,
gene-IGF2BP2,IGF2BP2,NC_059157.1,+,1,
gene-IGF2BP3,IGF2BP3,NC_059164.1,-,8,
gene-IGF2R,IGF2R,NC_059166.1,-,10,
gene-IGFALS,IGFALS,NC_059180.1,+,24,
gene-IGFBP1,IGFBP1,NC_059164.1,-,8,
gene-IGFBP2,IGFBP2,NC_059158.1,+,2,
gene-IGFBP3,IGFBP3,NC_059164.1,+,8,
gene-IGFBP4,IGFBP4,NC_059159.1,-,3,
gene-IGFBP5,IGFBP5,NC_059158.1,-,2,
gene-IGFBP6,IGFBP6,NC_059160.1,+,4,
gene-IGFBP7,IGFBP7,NC_059163.1,+,7,
gene-IGFBPL1,IGFBPL1,NC_059159.1,-,3,
gene-IGFLR1,IGFLR1,NC_059174.1,-,18,
gene-IGFN1,IGFN1,NC_059161.1,-,5,
gene-IGHMBP2,IGHMBP2,NC_059161.1,+,5,
gene-IGLON5,IGLON5,NC_059174.1,+,18,
gene-IGSF1,IGSF1,NC_059181.1,-,X,
gene-IGSF11,IGSF11,NC_059157.1,-,1,
gene-IGSF21,IGSF21,NC_059158.1,-,2,
gene-IGSF22,IGSF22,NC_059161.1,+,5,
gene-IGSF23,IGSF23,NC_059174.1,+,18,
gene-IGSF3,IGSF3,NC_059162.1,+,6,
gene-IGSF5,IGSF5,NC_059157.1,+,1,
gene-IGSF6,IGSF6,NC_059180.1,+,24,
gene-IGSF8,IGSF8,NC_059162.1,+,6,
gene-IGSF9,IGSF9,NC_059162.1,+,6,
gene-IGSF9B,IGSF9B,NC_059161.1,+,5,
gene-IHH,IHH,NC_059158.1,-,2,
gene-IHO1,IHO1,NC_059177.1,-,21,
gene-IK,IK,NC_059165.1,-,9,
gene-IKBKB,IKBKB,NC_059157.1,-,1,
gene-IKBKE,IKBKE,NC_059161.1,-,5,
gene-IKBKG,IKBKG,NC_059181.1,-,X,
gene-IKZF1,IKZF1,NC_059164.1,-,8,
gene-IKZF2,IKZF2,NC_059158.1,-,2,
gene-IKZF3,IKZF3,NC_059159.1,+,3,
gene-IKZF4,IKZF4,NC_059160.1,+,4,
gene-IKZF5,IKZF5,NC_059179.1,-,23,
gene-IL10,IL10,NC_059161.1,+,5,
gene-IL10RA,IL10RA,NC_059172.1,-,16,
gene-IL10RB,IL10RB,NC_059157.1,-,1,
gene-IL11,IL11,NC_059174.1,+,18,
gene-IL11RA,IL11RA,NC_059159.1,+,3,
gene-IL12A,IL12A,NC_059157.1,-,1,
gene-IL12B,IL12B,NC_059165.1,+,9,
gene-IL12RB1,IL12RB1,NC_059165.1,-,9,
gene-IL12RB2,IL12RB2,NC_059162.1,-,6,
gene-IL13,IL13,NC_059165.1,+,9,
gene-IL13RA1,IL13RA1,NC_059181.1,+,X,
gene-IL13RA2,IL13RA2,NC_059181.1,+,X,
gene-IL15,IL15,NC_059173.1,+,17,
gene-IL15RA,IL15RA,NC_059170.1,+,14,
gene-IL16,IL16,NC_059176.1,-,20,
gene-IL17A,IL17A,NC_059158.1,-,2,
gene-IL17B,IL17B,NC_059165.1,+,9,
gene-IL17C,IL17C,NC_059174.1,+,18,
gene-IL17D,IL17D,NC_059169.1,+,13,
gene-IL17F,IL17F,NC_059158.1,+,2,
gene-IL17RA,IL17RA,NC_059160.1,-,4,
gene-IL17RB,IL17RB,NC_059177.1,-,21,
gene-IL17RC,IL17RC,NC_059177.1,-,21,
gene-IL17RD,IL17RD,NC_059177.1,+,21,
gene-IL17RE,IL17RE,NC_059177.1,-,21,
gene-IL18,IL18,NC_059172.1,+,16,
gene-IL18R1,IL18R1,NC_059168.1,+,12,
gene-IL19,IL19,NC_059161.1,-,5,
gene-IL1A,IL1A,NC_059168.1,-,12,
gene-IL1B,IL1B,NC_059168.1,-,12,
gene-IL1F10,IL1F10,NC_059168.1,+,12,
gene-IL1R1,IL1R1,NC_059168.1,+,12,
gene-IL1R2,IL1R2,NC_059168.1,+,12,
gene-IL1RAPL1,IL1RAPL1,NC_059181.1,+,X,
gene-IL1RAPL2,IL1RAPL2,NC_059181.1,+,X,
gene-IL1RL1,IL1RL1,NC_059168.1,+,12,
gene-IL1RL2,IL1RL2,NC_059168.1,+,12,
gene-IL1RN,IL1RN,NC_059168.1,+,12,
gene-IL2,IL2,NC_059173.1,-,17,
gene-IL20,IL20,NC_059161.1,-,5,
gene-IL20RA,IL20RA,NC_059166.1,+,10,
gene-IL20RB,IL20RB,NC_059157.1,-,1,
gene-IL21,IL21,NC_059173.1,-,17,
gene-IL21R,IL21R,NC_059180.1,-,24,
gene-IL22,IL22,NC_059160.1,-,4,
gene-IL22RA1,IL22RA1,NC_059158.1,+,2,
gene-IL22RA2,IL22RA2,NC_059166.1,+,10,
gene-IL23A,IL23A,NC_059160.1,+,4,
gene-IL23R,IL23R,NC_059162.1,-,6,
gene-IL24,IL24,NC_059161.1,-,5,
gene-IL25,IL25,NC_059167.1,+,11,
gene-IL26,IL26,NC_059160.1,-,4,
gene-IL27,IL27,NC_059180.1,+,24,
gene-IL27RA,IL27RA,NC_059165.1,+,9,
gene-IL2RA,IL2RA,NC_059170.1,+,14,
gene-IL2RG,IL2RG,NC_059181.1,-,X,
gene-IL3,IL3,NC_059165.1,+,9,
gene-IL31RA,IL31RA,NC_059175.1,-,19,
gene-IL33,IL33,NC_059159.1,-,3,
gene-IL34,IL34,NC_059174.1,-,18,
gene-IL36B,IL36B,NC_059168.1,+,12,
gene-IL36G,IL36G,NC_059168.1,+,12,
gene-IL36RN,IL36RN,NC_059168.1,+,12,
gene-IL37,IL37,NC_059168.1,+,12,
gene-IL3RA,IL3RA,NC_059181.1,+,X,
gene-IL4,IL4,NC_059165.1,+,9,
gene-IL4I1,IL4I1,NC_059174.1,-,18,
gene-IL4R,IL4R,NC_059180.1,-,24,
gene-IL5,IL5,NC_059165.1,-,9,
gene-IL5RA,IL5RA,NC_059177.1,+,21,
gene-IL6,IL6,NC_059164.1,+,8,
gene-IL6R,IL6R,NC_059162.1,-,6,
gene-IL6ST,IL6ST,NC_059175.1,+,19,
gene-IL7,IL7,NC_059171.1,+,15,
gene-IL7R,IL7R,NC_059175.1,-,19,
gene-IL9,IL9,NC_059165.1,+,9,
gene-IL9R,IL9R,NC_059180.1,+,24,
gene-ILDR1,ILDR1,NC_059157.1,-,1,
gene-ILDR2,ILDR2,NC_059162.1,+,6,
gene-ILF2,ILF2,NC_059162.1,+,6,
gene-ILF3,ILF3,NC_059165.1,-,9,
gene-ILK,ILK,NC_059172.1,+,16,
gene-ILRUN,ILRUN,NC_059158.1,+,2,
gene-ILVBL,ILVBL,NC_059165.1,-,9,
gene-IMMP1L,IMMP1L,NC_059172.1,+,16,
gene-IMMP2L,IMMP2L,NC_059164.1,+,8,
gene-IMMT,IMMT,NC_059168.1,+,12,
gene-IMP3,IMP3,NC_059176.1,-,20,
gene-IMP4,IMP4,NC_059158.1,+,2,
gene-IMPA1,IMPA1,NC_059171.1,-,15,
gene-IMPA2,IMPA2,NC_059178.1,-,22,
gene-IMPACT,IMPACT,NC_059178.1,+,22,
gene-IMPDH1,IMPDH1,NC_059164.1,-,8,
gene-IMPDH2,IMPDH2,NC_059177.1,+,21,
gene-IMPG1,IMPG1,NC_059166.1,+,10,
gene-IMPG2,IMPG2,NC_059157.1,-,1,
gene-INA,INA,NC_059179.1,+,23,
gene-INAFM1,INAFM1,NC_059174.1,+,18,
gene-INAFM2,INAFM2,NC_059167.1,-,11,
gene-INAVA,INAVA,NC_059161.1,-,5,
gene-INCA1,INCA1,NC_059159.1,-,3,
gene-INF2,INF2,NC_059176.1,-,20,
gene-ING1,ING1,NC_059169.1,-,13,
gene-ING2,ING2,NC_059157.1,-,1,
gene-ING3,ING3,NC_059164.1,+,8,
gene-ING4,ING4,NC_059160.1,-,4,
gene-ING5,ING5,NC_059162.1,+,6,
gene-INHA,INHA,NC_059158.1,+,2,
gene-INHBB,INHBB,NC_059158.1,+,2,
gene-INHBC,INHBC,NC_059160.1,+,4,
gene-INHBE,INHBE,NC_059160.1,+,4,
gene-INKA1,INKA1,NC_059177.1,-,21,
gene-INKA2,INKA2,NC_059162.1,+,6,
gene-INMT,INMT,NC_059164.1,+,8,
gene-INO80,INO80,NC_059167.1,+,11,
gene-INO80B,INO80B,NC_059168.1,-,12,
gene-INO80C,INO80C,NC_059178.1,-,22,
gene-INO80D,INO80D,NC_059158.1,-,2,
gene-INO80E,INO80E,NC_059180.1,+,24,
gene-INPP1,INPP1,NC_059158.1,-,2,
gene-INPP4A,INPP4A,NC_059168.1,+,12,
gene-INPP4B,INPP4B,NC_059173.1,-,17,
gene-INPP5A,INPP5A,NC_059179.1,+,23,
gene-INPP5B,INPP5B,NC_059162.1,+,6,
gene-INPP5D,INPP5D,NC_059162.1,+,6,
gene-INPP5E,INPP5E,NC_059168.1,-,12,
gene-INPP5F,INPP5F,NC_059179.1,+,23,
gene-INPP5J,INPP5J,NC_059173.1,-,17,
gene-INPP5K,INPP5K,NC_059159.1,+,3,
gene-INPPL1,INPPL1,NC_059172.1,-,16,
gene-INS,INS,NC_059161.1,+,5,
gene-INSC,INSC,NC_059172.1,+,16,
gene-INSIG1,INSIG1,NC_059164.1,+,8,
gene-INSIG2,INSIG2,NC_059158.1,+,2,
gene-INSL3,INSL3,NC_059165.1,-,9,
gene-INSM1,INSM1,NC_059170.1,-,14,
gene-INSM2,INSM2,NC_059176.1,-,20,
gene-INSR,INSR,NC_059165.1,+,9,
gene-INSRR,INSRR,NC_059162.1,+,6,
gene-INSYN1,INSYN1,NC_059167.1,+,11,
gene-INSYN2A,INSYN2A,NC_059179.1,-,23,
gene-INSYN2B,INSYN2B,NC_059175.1,-,19,
gene-INTS1,INTS1,NC_059180.1,-,24,
gene-INTS10,INTS10,NC_059157.1,+,1,
gene-INTS11,INTS11,NC_059161.1,-,5,
gene-INTS12,INTS12,NC_059163.1,+,7,
gene-INTS13,INTS13,NC_059160.1,-,4,
gene-INTS14,INTS14,NC_059167.1,+,11,
gene-INTS2,INTS2,NC_059159.1,-,3,
gene-INTS3,INTS3,NC_059162.1,-,6,
gene-INTS4,INTS4,NC_059161.1,+,5,
gene-INTS5,INTS5,NC_059161.1,-,5,
gene-INTS6,INTS6,NC_059169.1,+,13,
gene-INTS6L,INTS6L,NC_059181.1,+,X,
gene-INTS7,INTS7,NC_059161.1,-,5,
gene-INTS8,INTS8,NC_059171.1,+,15,
gene-INTS9,INTS9,NC_059159.1,+,3,
gene-INTU,INTU,NC_059173.1,+,17,
gene-INVS,INVS,NC_059159.1,+,3,
gene-IP6K1,IP6K1,NC_059177.1,+,21,
gene-IP6K2,IP6K2,NC_059177.1,+,21,
gene-IP6K3,IP6K3,NC_059158.1,+,2,
gene-IPCEF1,IPCEF1,NC_059166.1,+,10,
gene-IPMK,IPMK,NC_059179.1,+,23,
gene-IPO11,IPO11,NC_059175.1,-,19,
gene-IPO13,IPO13,NC_059162.1,-,6,
gene-IPO4,IPO4,NC_059167.1,-,11,
gene-IPO5,IPO5,NC_059169.1,-,13,
gene-IPO7,IPO7,NC_059172.1,+,16,
gene-IPO8,IPO8,NC_059160.1,-,4,
gene-IPO9,IPO9,NC_059161.1,+,5,
gene-IPPK,IPPK,NC_059159.1,-,3,
gene-IQANK1,IQANK1,NC_059171.1,+,15,
gene-IQCA1,IQCA1,NC_059162.1,-,6,
gene-IQCA1L,IQCA1L,NC_059164.1,-,8,
gene-IQCB1,IQCB1,NC_059157.1,-,1,
gene-IQCC,IQCC,NC_059158.1,-,2,
gene-IQCD,IQCD,NC_059173.1,+,17,
gene-IQCE,IQCE,NC_059180.1,-,24,
gene-IQCF6,IQCF6,NC_059177.1,+,21,
gene-IQCG,IQCG,NC_059157.1,+,1,
gene-IQCH,IQCH,NC_059167.1,-,11,
gene-IQCJ,IQCJ,NC_059157.1,-,1,
gene-IQCK,IQCK,NC_059180.1,-,24,
gene-IQCM,IQCM,NC_059173.1,-,17,
gene-IQCN,IQCN,NC_059165.1,-,9,
gene-IQGAP1,IQGAP1,NC_059176.1,+,20,
gene-IQGAP2,IQGAP2,NC_059167.1,-,11,
gene-IQGAP3,IQGAP3,NC_059162.1,+,6,
gene-IQSEC1,IQSEC1,NC_059177.1,+,21,
gene-IQSEC2,IQSEC2,NC_059181.1,+,X,
gene-IQSEC3,IQSEC3,NC_059160.1,-,4,
gene-IQUB,IQUB,NC_059164.1,-,8,
gene-IRAG1,IRAG1,NC_059172.1,-,16,
gene-IRAG2,IRAG2,NC_059160.1,+,4,
gene-IRAK1,IRAK1,NC_059181.1,+,X,
gene-IRAK1BP1,IRAK1BP1,NC_059166.1,-,10,
gene-IRAK2,IRAK2,NC_059177.1,-,21,
gene-IRAK3,IRAK3,NC_059160.1,+,4,
gene-IRAK4,IRAK4,NC_059160.1,+,4,
gene-IREB2,IREB2,NC_059176.1,-,20,
gene-IRF1,IRF1,NC_059165.1,-,9,
gene-IRF2,IRF2,NC_059157.1,+,1,
gene-IRF2BP1,IRF2BP1,NC_059174.1,-,18,
gene-IRF2BP2,IRF2BP2,NC_059160.1,-,4,
gene-IRF2BPL,IRF2BPL,NC_059167.1,+,11,
gene-IRF3,IRF3,NC_059174.1,-,18,
gene-IRF4,IRF4,NC_059158.1,+,2,
gene-IRF5,IRF5,NC_059164.1,+,8,
gene-IRF6,IRF6,NC_059161.1,-,5,
gene-IRF8,IRF8,NC_059174.1,+,18,
gene-IRF9,IRF9,NC_059167.1,+,11,
gene-IRGC,IRGC,NC_059174.1,+,18,
gene-IRGQ,IRGQ,NC_059174.1,-,18,
gene-IRS1,IRS1,NC_059158.1,-,2,
gene-IRS2,IRS2,NC_059169.1,+,13,
gene-IRS4,IRS4,NC_059181.1,+,X,
gene-IRX1,IRX1,NC_059175.1,-,19,
gene-IRX2,IRX2,NC_059175.1,+,19,
gene-IRX3,IRX3,NC_059174.1,-,18,
gene-IRX4,IRX4,NC_059175.1,+,19,
gene-IRX5,IRX5,NC_059174.1,+,18,
gene-IRX6,IRX6,NC_059174.1,+,18,
gene-ISCA1,ISCA1,NC_059159.1,-,3,
gene-ISCA2,ISCA2,NC_059167.1,-,11,
gene-ISCU,ISCU,NC_059173.1,+,17,
gene-ISG15,ISG15,NC_059161.1,+,5,
gene-ISG20,ISG20,NC_059176.1,-,20,
gene-ISG20L2,ISG20L2,NC_059162.1,+,6,
gene-ISL1,ISL1,NC_059175.1,-,19,
gene-ISL2,ISL2,NC_059176.1,-,20,
gene-ISLR,ISLR,NC_059176.1,+,20,
gene-ISLR2,ISLR2,NC_059176.1,+,20,
gene-ISM1,ISM1,NC_059170.1,-,14,
gene-ISM2,ISM2,NC_059167.1,+,11,
gene-ISOC1,ISOC1,NC_059165.1,+,9,
gene-ISOC2,ISOC2,NC_059174.1,+,18,
gene-IST1,IST1,NC_059174.1,-,18,
gene-ISX,ISX,NC_059160.1,-,4,
gene-ISYNA1,ISYNA1,NC_059165.1,-,9,
gene-ITCH,ITCH,NC_059170.1,-,14,
gene-ITFG1,ITFG1,NC_059174.1,-,18,
gene-ITFG2,ITFG2,NC_059160.1,+,4,
gene-ITGA1,ITGA1,NC_059175.1,-,19,
gene-ITGA10,ITGA10,NC_059162.1,+,6,
gene-ITGA11,ITGA11,NC_059167.1,+,11,
gene-ITGA2,ITGA2,NC_059175.1,-,19,
gene-ITGA2B,ITGA2B,NC_059159.1,+,3,
gene-ITGA3,ITGA3,NC_059159.1,+,3,
gene-ITGA4,ITGA4,NC_059158.1,-,2,
gene-ITGA5,ITGA5,NC_059160.1,-,4,
gene-ITGA6,ITGA6,NC_059158.1,-,2,
gene-ITGA7,ITGA7,NC_059160.1,-,4,
gene-ITGA8,ITGA8,NC_059170.1,+,14,
gene-ITGA9,ITGA9,NC_059177.1,+,21,
gene-ITGAE,ITGAE,NC_059159.1,+,3,
gene-ITGAL,ITGAL,NC_059180.1,-,24,
gene-ITGAV,ITGAV,NC_059158.1,-,2,
gene-ITGAX,ITGAX,NC_059180.1,-,24,
gene-ITGB1,ITGB1,NC_059170.1,-,14,
gene-ITGB1BP1,ITGB1BP1,NC_059168.1,+,12,
gene-ITGB1BP2,ITGB1BP2,NC_059181.1,+,X,
gene-ITGB2,ITGB2,NC_059157.1,-,1,
gene-ITGB3,ITGB3,NC_059159.1,-,3,
gene-ITGB4,ITGB4,NC_059159.1,+,3,
gene-ITGB5,ITGB5,NC_059157.1,-,1,
gene-ITGB6,ITGB6,NC_059158.1,+,2,
gene-ITGB7,ITGB7,NC_059160.1,-,4,
gene-ITGB8,ITGB8,NC_059164.1,+,8,
gene-ITGBL1,ITGBL1,NC_059169.1,-,13,
gene-ITIH1,ITIH1,NC_059177.1,-,21,
gene-ITIH2,ITIH2,NC_059170.1,-,14,
gene-ITIH3,ITIH3,NC_059177.1,-,21,
gene-ITIH4,ITIH4,NC_059177.1,+,21,
gene-ITIH5,ITIH5,NC_059170.1,+,14,
gene-ITIH6,ITIH6,NC_059181.1,+,X,
gene-ITK,ITK,NC_059165.1,-,9,
gene-ITM2B,ITM2B,NC_059169.1,-,13,
gene-ITM2C,ITM2C,NC_059158.1,+,2,
gene-ITPA,ITPA,NC_059170.1,+,14,
gene-ITPK1,ITPK1,NC_059176.1,+,20,
gene-ITPKA,ITPKA,NC_059167.1,-,11,
gene-ITPKB,ITPKB,NC_059161.1,+,5,
gene-ITPKC,ITPKC,NC_059174.1,+,18,
gene-ITPR1,ITPR1,NC_059177.1,-,21,
gene-ITPR2,ITPR2,NC_059160.1,-,4,
gene-ITPR3,ITPR3,NC_059158.1,-,2,
gene-ITPRID1,ITPRID1,NC_059164.1,-,8,
gene-ITPRID2,ITPRID2,NC_059158.1,-,2,
gene-ITPRIPL1,ITPRIPL1,NC_059168.1,+,12,
gene-ITPRIPL2,ITPRIPL2,NC_059180.1,+,24,
gene-ITSN1,ITSN1,NC_059157.1,-,1,
gene-ITSN2,ITSN2,NC_059168.1,+,12,
gene-IVD,IVD,NC_059167.1,-,11,
gene-IVL,IVL,NC_059162.1,-,6,
gene-IWS1,IWS1,NC_059158.1,+,2,
gene-IYD,IYD,NC_059166.1,-,10,
gene-IZUMO1,IZUMO1,NC_059174.1,-,18,
gene-IZUMO1R,IZUMO1R,NC_059172.1,-,16,
gene-IZUMO2,IZUMO2,NC_059174.1,-,18,
gene-IZUMO3,IZUMO3,NC_059159.1,+,3,
gene-IZUMO4,IZUMO4,NC_059165.1,+,9,
gene-JADE1,JADE1,NC_059173.1,+,17,
gene-JADE2,JADE2,NC_059165.1,-,9,
gene-JADE3,JADE3,NC_059181.1,-,X,
gene-JAG1,JAG1,NC_059170.1,+,14,
gene-JAG2,JAG2,NC_059176.1,+,20,
gene-JAGN1,JAGN1,NC_059177.1,-,21,
gene-JAK1,JAK1,NC_059162.1,+,6,
gene-JAK2,JAK2,NC_059159.1,-,3,
gene-JAK3,JAK3,NC_059165.1,-,9,
gene-JAKMIP1,JAKMIP1,NC_059163.1,-,7,
gene-JAKMIP2,JAKMIP2,NC_059165.1,+,9,
gene-JAKMIP3,JAKMIP3,NC_059179.1,+,23,
gene-JAM2,JAM2,NC_059157.1,-,1,
gene-JAM3,JAM3,NC_059161.1,-,5,
gene-JAML,JAML,NC_059172.1,+,16,
gene-JARID2,JARID2,NC_059158.1,+,2,
gene-JAZF1,JAZF1,NC_059164.1,+,8,
gene-JCAD,JCAD,NC_059170.1,+,14,
gene-JCHAIN,JCHAIN,NC_059163.1,+,7,
gene-JDP2,JDP2,NC_059167.1,-,11,
gene-JHY,JHY,NC_059172.1,-,16,
gene-JMJD1C,JMJD1C,NC_059160.1,-,4,
gene-JMJD4,JMJD4,NC_059165.1,-,9,
gene-JMJD6,JMJD6,NC_059159.1,-,3,
gene-JMJD7,JMJD7,NC_059167.1,-,11,
gene-JMJD8,JMJD8,NC_059180.1,+,24,
gene-JMY,JMY,NC_059167.1,-,11,
gene-JOSD1,JOSD1,NC_059160.1,+,4,
gene-JOSD2,JOSD2,NC_059174.1,-,18,
gene-JPH1,JPH1,NC_059171.1,+,15,
gene-JPH2,JPH2,NC_059170.1,+,14,
gene-JPH3,JPH3,NC_059174.1,+,18,
gene-JPH4,JPH4,NC_059167.1,-,11,
gene-JPT1,JPT1,NC_059159.1,-,3,
gene-JPT2,JPT2,NC_059180.1,-,24,
gene-JRK,JRK,NC_059171.1,-,15,
gene-JRKL,JRKL,NC_059172.1,+,16,
gene-JSRP1,JSRP1,NC_059165.1,+,9,
gene-JTB,JTB,NC_059162.1,+,6,
gene-JUN,JUN,NC_059162.1,+,6,
gene-JUNB,JUNB,NC_059165.1,+,9,
gene-JUND,JUND,NC_059165.1,-,9,
gene-KALRN,KALRN,NC_059157.1,+,1,
gene-KANK1,KANK1,NC_059159.1,-,3,
gene-KANK2,KANK2,NC_059165.1,+,9,
gene-KANK3,KANK3,NC_059165.1,+,9,
gene-KANK4,KANK4,NC_059162.1,+,6,
gene-KANSL1,KANSL1,NC_059159.1,+,3,
gene-KANSL1L,KANSL1L,NC_059158.1,-,2,
gene-KANSL2,KANSL2,NC_059160.1,-,4,
gene-KANSL3,KANSL3,NC_059168.1,-,12,
gene-KARS1,KARS1,NC_059174.1,-,18,
gene-KASH5,KASH5,NC_059174.1,+,18,
gene-KAT14,KAT14,NC_059170.1,-,14,
gene-KAT2A,KAT2A,NC_059159.1,+,3,
gene-KAT2B,KAT2B,NC_059157.1,+,1,
gene-KAT5,KAT5,NC_059161.1,+,5,
gene-KAT6A,KAT6A,NC_059157.1,+,1,
gene-KAT6B,KAT6B,NC_059160.1,+,4,
gene-KAT7,KAT7,NC_059159.1,+,3,
gene-KAT8,KAT8,NC_059180.1,-,24,
gene-KATNA1,KATNA1,NC_059166.1,+,10,
gene-KATNAL1,KATNAL1,NC_059169.1,-,13,
gene-KATNAL2,KATNAL2,NC_059178.1,-,22,
gene-KATNB1,KATNB1,NC_059174.1,+,18,
gene-KATNBL1,KATNBL1,NC_059167.1,-,11,
gene-KATNIP,KATNIP,NC_059180.1,-,24,
gene-KAZALD1,KAZALD1,NC_059179.1,+,23,
gene-KAZN,KAZN,NC_059161.1,+,5,
gene-KBTBD11,KBTBD11,NC_059157.1,-,1,
gene-KBTBD12,KBTBD12,NC_059177.1,-,21,
gene-KBTBD13,KBTBD13,NC_059167.1,-,11,
gene-KBTBD2,KBTBD2,NC_059164.1,+,8,
gene-KBTBD3,KBTBD3,NC_059172.1,-,16,
gene-KBTBD4,KBTBD4,NC_059172.1,+,16,
gene-KBTBD7,KBTBD7,NC_059169.1,+,13,
gene-KBTBD8,KBTBD8,NC_059177.1,-,21,
gene-KCMF1,KCMF1,NC_059168.1,-,12,
gene-KCNA1,KCNA1,NC_059160.1,+,4,
gene-KCNA10,KCNA10,NC_059162.1,+,6,
gene-KCNA2,KCNA2,NC_059162.1,+,6,
